fname,coop_efficiency,cost_rate,res_mean,res_var_range,sociality,pop_size_mean,pop_size_sd,coop_num_mean,coop_num_sd,noncoop_num_mean,noncoop_num_sd,coop_prop_mean,coop_prop_sd,aver_coop_deg_mean,aver_coop_deg_sd
cao_pfs_1307m0p0.csv,2.5,0.7,13,14,Social,1784.01,456.24518251227215,14.2,11.27077206895353,1769.81,454.5120970487324,0.008203653780000002,0.006246983145527769,0.0025274124099999994,0.0014862263416495116
cao_pfs_130700p1.csv,2.5,0.7,13,16.6,Social,1712.71,499.3349980754706,2.66,9.581358162725383,1710.05,499.80685916126293,0.0016563328999999998,0.006228424710077947,0.00017449329000000002,0.0006499389490795993
cao_pfs_130700p2.csv,2.5,0.7,13,19.2,Social,1616.56,635.6745930763855,2.75,11.829064530924144,1613.81,633.997270729874,0.00149980895,0.006597283249132714,0.000156014115,0.0006666384749012425
cao_pfs_130700p3.csv,2.5,0.7,13,21.8,Social,1535.5,750.2922595545517,2.67,8.54702381894517,1532.83,749.455237239865,0.0017608647999999998,0.005572083353004627,0.00020532162999999998,0.0006215377176579283
cao_pfs_130700p4.csv,2.5,0.7,13,24.4,Social,1301.65,708.2226918936807,4.13,13.535329752730489,1297.52,707.7269273076754,0.0037291761000000003,0.010323950379798373,0.00038720331000000003,0.0010567467837044942
