fname,coop_efficiency,cost_rate,res_mean,res_var_range,sociality,pop_size_mean,pop_size_sd,coop_num_mean,coop_num_sd,noncoop_num_mean,noncoop_num_sd,coop_prop_mean,coop_prop_sd,aver_coop_deg_mean,aver_coop_deg_sd
rdo_pfs_0704m0p0.csv,10,0.16,7,8,Social,680.3,206.7864999598779,95.39,96.65401118829928,584.91,236.6330789226309,0.15924027945999994,0.15929966730791992,0.020825916969999997,0.015438550139045265
rdo_pfs_0704m100.csv,10,0.16,6.3,8,Social,515.49,233.56216030699986,43.68,71.3089564692071,471.81,243.69772197739087,0.10093622430000002,0.15734262648078262,0.01040123537,0.015722921805805288
rdo_pfs_0704m200.csv,10,0.16,5.6,8,Social,371.62,203.29397433273814,29.85,60.31757286197446,341.77,205.543863686051,0.089614113,0.16104392113472346,0.008961411300000001,0.01610439211347233
rdo_pfs_0704m300.csv,10,0.16,4.9,8,Social,76.62,101.32862628621046,5.9,25.59691427109956,70.72,95.76276242186556,0.062367051282051285,0.1826970900053816,0.006236705128205128,0.018269709000538144
rdo_pfs_0704m400.csv,10,0.16,4.2,8,Social,0.39,2.766666666666669,0.0,0.0,0.39,2.766666666666669,0.0,0.0,0.0,0.0
