fname,coop_efficiency,cost_rate,res_mean,res_var_range,sociality,pop_size_mean,pop_size_sd,coop_num_mean,coop_num_sd,noncoop_num_mean,noncoop_num_sd,coop_prop_mean,coop_prop_sd,aver_coop_deg_mean,aver_coop_deg_sd
rdo_pfs_1307m0p0.csv,10,0.16,13,14,Social,1143.16,271.4392883735279,801.18,214.83855249084982,341.98,168.10308165112878,0.7055303300000001,0.119192144724056,0.07238280799999995,0.011643884020496065
rdo_pfs_130700p1.csv,10,0.16,13,16.6,Social,1187.7,331.50646351698083,841.78,252.9075600676934,345.92,190.8135522366577,0.7151657699999998,0.11722431794156773,0.07223016699999998,0.011522747426931636
rdo_pfs_130700p2.csv,10,0.16,13,19.2,Social,1071.46,364.7741634258521,759.66,285.50480616521037,311.8,184.4769838645396,0.7140308199999998,0.1257374718206393,0.07199140799999999,0.011871549177758369
rdo_pfs_130700p3.csv,10,0.16,13,21.8,Social,1185.17,396.9693282556696,757.95,278.0303513334943,427.22,264.06031527098145,0.64652744,0.15027481523215047,0.06522732900000003,0.014606245005464457
rdo_pfs_130700p4.csv,10,0.16,13,24.4,Social,1014.72,507.7227247745814,652.35,359.46341534250325,362.37,271.0063794023448,0.6492228300000003,0.1721120570429529,0.06502162799999998,0.017235343102193212
