fname,coop_efficiency,cost_rate,res_mean,res_var_range,sociality,pop_size_mean,pop_size_sd,coop_num_mean,coop_num_sd,noncoop_num_mean,noncoop_num_sd,coop_prop_mean,coop_prop_sd,aver_coop_deg_mean,aver_coop_deg_sd
rdo_pfs_1307m0p0.csv,10,0.16,13,14,Social,1143.16,271.4392883735279,801.18,214.83855249084982,341.98,168.10308165112878,0.7055303300000001,0.119192144724056,0.07238280799999995,0.011643884020496065
rdo_pfs_1307m100.csv,10,0.16,11.7,14,Social,1068.23,278.1961322157409,751.24,231.18907037882713,316.99,179.20602076601077,0.7067917300000002,0.1306579936415737,0.07136395599999998,0.012743558831939174
rdo_pfs_1307m200.csv,10,0.16,10.4,14,Social,887.3,264.69496452034036,604.87,186.49183668867428,282.43,172.90677437932447,0.6938570600000001,0.13545261474780237,0.069604446,0.013505983459136499
rdo_pfs_1307m300.csv,10,0.16,9.1,14,Social,736.68,315.0742057857405,456.11,216.85091909215217,280.57,182.64572181403454,0.6261244699999999,0.1620875413130765,0.063250538,0.016441308587341764
rdo_pfs_1307m400.csv,10,0.16,7.8,14,Social,501.16,333.98036354301314,259.95,174.78531564652837,241.21,247.4555074792602,0.5606941616161615,0.2075907100197507,0.05615520000000001,0.020816363331293206
