bK,CostRate,Status,Range,pSizeM,pSizeSD,pSizeU,pSizeL,cPropM,cPropSD,cPropU,cPropL,cDegM,cDegSD,cDegU,cDegL,resM,resSD,rSizeM,rSizeSD,rSizeU,rSizeL
10.0,0.16,Social,0.0,383.37,26.88909320399878,388.6401654672482,378.0998345327518,0.013553518399999995,0.021136880720208723,0.017696270928390313,0.009410765871609678,0.00423755023,0.004593045917551862,0.0051377706948748615,0.0033373297651251377,5.0,0.0,262.87,14.91821370003795,265.79391617963813,259.9460838203619
10.0,0.16,Social,2.0,362.31,54.02556353386343,372.8988159606085,351.7211840393915,0.016034952900000007,0.02738657351339198,0.02140262271696019,0.010667283083039826,0.005065380100000002,0.004921993394153672,0.006030073086077902,0.004100687113922101,5.0,3.5339375863762494e-14,251.35,27.210429985577218,256.68314631962517,246.0168536803748
10.0,0.16,Social,4.0,331.56,103.83828919541341,351.9119308644599,311.2080691355401,0.015947100899999997,0.023746243866798154,0.020601279211414514,0.01129292258858548,0.004910192439999999,0.005477042821794283,0.00598367311571752,0.003836711764282478,5.0,3.470082528043412e-14,231.43,53.362768856197846,241.88891058984692,220.9710894101531
10.0,0.16,Social,6.0,247.33,146.23773746398658,275.9920700870865,218.6679299129135,0.011561245051546393,0.020112647633977115,0.015503251582274426,0.007619238520818361,0.004048287608247421,0.0054837796724520535,0.005123088682441203,0.00297348653405364,5.0,3.843414236864124e-14,176.15,83.30082532604344,192.47666188093334,159.82333811906668
10.0,0.16,Social,8.0,0.0,0.0,0.0,0.0,,,,,,,,,5.0,2.6573790652261053e-14,0.0,0.0,0.0,0.0
10.0,0.16,Social,10.0,0.0,0.0,0.0,0.0,,,,,,,,,5.0,2.049964270132714e-14,0.0,0.0,0.0,0.0
