Species,Clade,social_system,range_size,pre_var_among,pre_var_within,tmp,dtr,str,pre,body_mass,abundance,X95..Lower.CI,X95..Upper.CI
Lullula_arborea,S3,0,7106818.574,2.122576359,2.27574106,8.69659613,9.40195412,24.62274627,52.4220787,26.9,3434603,39101,354210426
Alauda_arvensis,S3,0,26829091.46,1.935807159,2.284528154,1.058691309,10.54953166,35.53078205,43.53982459,37.31,36454980,469258,3161346400
Alauda_gulgula,S3,0,11895680.09,2.059434013,2.711155252,16.43990914,11.62562507,18.20185898,81.17962579,26.3,8425641,92285,746612553
Alauda_razae,S3,0,1.917035149,2.361036539,2.367146015,22.52694511,6.441666603,5.196666718,36.56201553,21.9,418032,4871,35098486
Eremophila_alpestris,S3,0,33282705.12,1.760261854,2.19282301,-0.091426443,11.37199934,34.14938102,33.93862188,33.33,770962832,114183681,4980210996
Eremophila_bilopha,S3,0,1422315.018,1.437665888,1.884278402,19.66923157,13.28545963,18.89417921,12.41531115,38.5,1230955,15924,125291924
Prionochilus_olivaceus,P2,0,226152.0038,2.659044971,2.958163387,25.17297106,8.968532191,2.822060174,206.6146177,9.4,105984,1032,8554787
Prionochilus_maculatus,P2,0,1401405.5,2.610610426,2.836739136,25.9644976,9.025403942,1.385514922,242.5950298,7.95,448375,4567,44550323
Prionochilus_percussus,P2,0,1530525.145,2.618327205,2.84779768,25.98675425,9.100857952,1.369865864,239.6774937,6,340988,3753,31516992
Prionochilus_plateni,P2,0,13498.60522,2.545630276,2.920612037,26.19915009,7.859392524,1.924374968,151.7754364,8.48,12272,120,1065432
Prionochilus_xanthopygius,P2,0,316486.7956,2.659982248,2.796082921,24.89338927,8.66184805,1.118253946,283.1119835,7.6,548402,5435,49558429
Prionochilus_thoracicus,P2,0,1143891.726,2.615383084,2.817922118,25.92514162,8.958739367,1.272778502,246.2873652,8.9,200973,2066,18401108
Dicaeum_annae,P2,0,28449.46151,2.700134426,3.110480398,24.99163246,10.43664944,2.214271009,169.246294,10,16925,195,1510226
Dicaeum_agile,P2,0,4185284.822,2.306199417,3.0154199,25.33809776,10.92075343,9.661772498,127.4107148,9,1962762,23156,192916299
Dicaeum_everetti,P2,0,484765.7593,2.625667635,2.803737205,26.17978535,8.36161755,1.176182796,255.853131,8.46,50979,529,4771101
Dicaeum_proprium,P2,0,13567.45174,2.684436023,2.745477855,23.71034765,9.566597462,1.638541609,215.6424828,10.2,4968,57,393855
Dicaeum_chrysorrheum,P2,0,3155552.174,2.438376105,3.007513482,24.43520958,9.503469249,5.555519427,190.4286833,9,666356,6999,62380234
