fname,coop_efficiency,cost_rate,res_mean,res_var_range,sociality,pop_size_mean,pop_size_sd,coop_num_mean,coop_num_sd,noncoop_num_mean,noncoop_num_sd,coop_prop_mean,coop_prop_sd,aver_coop_deg_mean,aver_coop_deg_sd
nso_pfs_1307m0p0.csv,0,0,13,14,Nonsocial,1792.78,440.73459294017465,0.0,0.0,1792.78,440.73459294017465,0.0,0.0,0.0,0.0
nso_pfs_1307m100.csv,0,0,11.7,14,Nonsocial,1534.91,425.47815277032566,0.0,0.0,1534.91,425.47815277032566,0.0,0.0,0.0,0.0
nso_pfs_1307m200.csv,0,0,10.4,14,Nonsocial,1197.79,431.8505234991208,0.0,0.0,1197.79,431.8505234991208,0.0,0.0,0.0,0.0
nso_pfs_1307m300.csv,0,0,9.1,14,Nonsocial,1010.68,425.6764048149271,0.0,0.0,1010.68,425.6764048149271,0.0,0.0,0.0,0.0
nso_pfs_1307m400.csv,0,0,7.8,14,Nonsocial,673.22,363.62955897673686,0.0,0.0,673.22,363.62955897673686,0.0,0.0,0.0,0.0
