bK,CostRate,Status,Range,pSizeM,pSizeSD,pSizeU,pSizeL,cPropM,cPropSD,cPropU,cPropL,cDegM,cDegSD,cDegU,cDegL,resM,resSD,rSizeM,rSizeSD,rSizeU,rSizeL
2.5,0.7,Social,0.0,588.71,52.92233589292556,599.0825873146042,578.3374126853959,0.9670093500000001,0.030319878491592768,0.9729519370327897,0.9610667629672105,0.18080042899999998,0.04557497300212147,0.189732959638513,0.17186789836148697,5.0,0.0,345.01,20.259069573897023,348.98070470383334,341.03929529616664
2.5,0.7,Social,2.0,605.13,75.85454648353137,619.9972180344048,590.2627819655952,0.9704854700000004,0.023710277421471297,0.9751325990176101,0.9658383409823907,0.195476244,0.04724800412856391,0.20473668271638365,0.18621580528361634,5.0,3.2160258258601987e-14,350.06,24.79347494805841,354.91943183330966,345.20056816669035
2.5,0.7,Social,4.0,574.83,116.08400432706506,597.5820469456892,552.0779530543109,0.9756932799999999,0.019724114672597538,0.9795591354690162,0.9718274245309836,0.21166647900000002,0.047847895865300326,0.22104449433717377,0.20228846366282627,5.0,3.7960647109641745e-14,336.49,40.520487410691395,344.4318696587408,328.5481303412592
2.5,0.7,Social,6.0,571.63,165.52662546362063,604.072622695018,539.187377304982,0.9776460100000003,0.02323571452190213,0.9822001263977208,0.9730918936022798,0.237608681,0.05313145113082278,0.2480222541484172,0.22719510785158278,5.0,3.917738322509665e-14,330.4,58.40051369637085,341.8462904426394,318.9537095573606
2.5,0.7,Social,8.0,515.04,254.56605659772706,564.9340306553507,465.1459693446492,0.9814829255319147,0.019185663784291058,0.9852432465652462,0.9777226044985833,0.2627416361702128,0.06648299560150273,0.27577206396932313,0.24971120837110242,5.0,4.184060511422048e-14,294.57,109.56461609479587,316.044270321962,273.09572967803797
2.5,0.7,Social,10.0,133.25,253.47206627918268,182.9296124912812,83.5703875087188,0.9761639285714283,0.029354758745929868,0.9819173556084991,0.9704105015343575,0.351546,0.05249886987989995,0.36183558950052885,0.3412564104994712,5.0,3.5872112061159106e-14,77.06,137.60253049998752,104.02960060888776,50.09039939111225
