fname,coop_efficiency,cost_rate,res_mean,res_var_range,sociality,pop_size_mean,pop_size_sd,coop_num_mean,coop_num_sd,noncoop_num_mean,noncoop_num_sd,coop_prop_mean,coop_prop_sd,aver_coop_deg_mean,aver_coop_deg_sd
rdo_pfs_0701m0p0.csv,10,0.16,7,2,Social,666.53,83.39276123419002,279.41,117.88498889197301,387.12,182.14359303815354,0.43861745799999996,0.21098939923772136,0.0473017026,0.020015756862779538
rdo_pfs_0701m100.csv,10,0.16,6.3,2,Social,560.04,73.15017347066157,203.71,107.91525809306546,356.33,157.22287179078435,0.3819369210000001,0.2200158083179765,0.03896491719999999,0.02170027408265829
rdo_pfs_0701m200.csv,10,0.16,5.6,2,Social,445.02,67.16510337303973,135.13,88.83723113854707,309.89,133.87895143137192,0.3239035321,0.22387119348166548,0.03273920281000001,0.02247026460173349
rdo_pfs_0701m300.csv,10,0.16,4.9,2,Social,307.07,65.74902618628236,80.61,54.56936925241174,226.46,95.80445361951257,0.2838691711999999,0.21195365576510966,0.02848301112,0.021277242202040067
rdo_pfs_0701m400.csv,10,0.16,4.2,2,Social,131.61,41.984098721474844,22.72,27.867319116618926,108.89,52.26658453147535,0.20011431510000002,0.25578364310927504,0.02001143151,0.025578364310927505
