bK,CostRate,Status,Range,pSizeM,pSizeSD,pSizeU,pSizeL,cPropM,cPropSD,cPropU,cPropL,cDegM,cDegSD,cDegU,cDegL,resM,resSD,rSizeM,rSizeSD,rSizeU,rSizeL
2.5,0.7,Nonsocial,-0.1,385.49,25.0383524,390.3974269,380.5825731,0,0,0,0,0,0,0,0,5,0,263.51,13.80615442,266.2159566,260.8040434
2.5,0.7,Nonsocial,1.9,372.61,56.02486731,383.5906723,361.6293277,0,0,0,0,0,0,0,0,5,3.59E-14,255.96,27.76325629,261.4014983,250.5185017
2.5,0.7,Nonsocial,3.9,338.75,102.4928059,358.838221,318.661779,0,0,0,0,0,0,0,0,5,3.93E-14,235.02,51.99864998,245.2115482,224.8284518
2.5,0.7,Nonsocial,5.9,248.69,110.6447308,270.3759689,227.0040311,0,0,0,0,0,0,0,0,5,3.96E-14,181.59,68.81658158,195.0778022,168.1021978
2.5,0.7,Nonsocial,7.9,0,0,0,0,,,,,,,,,5,2.30E-14,0,0,0,0
2.5,0.7,Nonsocial,9.9,0,0,0,0,,,,,,,,,5,1.65E-14,0,0,0,0
