coop_efficiency,cost_rate,sociality,res_mean,res_var_range,res_sd,pop_size_mean,pop_size_sd,pop_size_ub,pop_size_lb,coop_prop_mean,coop_prop_sd,coop_prop_ub,coop_prop_lb,coop_deg_mean,coop_deg_sd,coop_deg_ub,coop_deg_lb,range_size_mean,range_size_sd,range_size_ub,range_size_lb
10,0.16,Social,8,2,5.36E-14,779.93,76.11053299,794.8473905,765.0126095,0.60090649,0.149574932,0.630222638,0.571590342,0.063253469,0.014397254,0.066075279,0.060431659,411.45,18.00354132,414.9786293,407.9213707
10,0.16,Social,8,4,6.39E-14,779.33,111.935412,801.2689378,757.3910622,0.571134674,0.186220711,0.607633263,0.534636085,0.060533403,0.017359251,0.063935754,0.057131052,407.34,25.3445142,412.3074335,402.3725665
10,0.16,Social,8,6,6.05E-14,787.2,163.9388282,819.3314201,755.0685799,0.510358434,0.179304713,0.545501512,0.475215356,0.05559253,0.017522497,0.059026876,0.052158184,406.65,37.77284077,414.0533408,399.2466592
10,0.16,Social,8,8,6.37E-14,774.31,220.1304799,817.4547816,731.1652184,0.433020613,0.194274353,0.471097687,0.394943539,0.047166378,0.018522899,0.050796799,0.043535956,395.74,53.29476897,406.1855829,385.2944171
10,0.16,Social,8,10,6.59E-14,802.39,256.4995479,852.662988,752.117012,0.289507791,0.179139906,0.324618568,0.254397014,0.034979662,0.017533916,0.038416246,0.031543077,397.82,61.33634811,409.8417034,385.7982966
10,0.16,Social,8,12,5.66E-14,754.17,302.6755791,813.4933239,694.8466761,0.123996365,0.164013931,0.156142505,0.091850225,0.018078949,0.017136084,0.02143756,0.014720338,376.64,77.18737202,391.768447,361.511553
10,0.16,Social,8,14,6.38E-14,684.68,410.2768683,765.0927892,604.2672108,0.041866393,0.058187853,0.053271003,0.030461783,0.009391041,0.008829783,0.011121646,0.007660435,335.1,120.5881006,358.7348336,311.4651664
10,0.16,Social,8,16,3.37E-14,91.21,306.7778222,151.3373488,31.08265124,0.010241179,0.011197945,0.012435936,0.008046422,0.00410813,0.003584023,0.004810586,0.003405674,39.47,122.3689875,63.45388102,15.48611898
10,0.16,Social,9,0,0,893,51.0802498,903.0115451,882.9884549,0.6508364,0.140330832,0.678340738,0.623332062,0.067930564,0.014285279,0.070730427,0.065130701,436.48,11.27606314,438.6900678,434.2699322
10,0.16,Social,9,2,6.06E-14,882.33,74.33775704,896.8999328,867.7600672,0.67206616,0.140627461,0.699628636,0.644503684,0.069690684,0.013669691,0.072369894,0.067011474,434.38,13.78388915,437.0815927,431.6784073
10,0.16,Social,9,4,5.49E-14,888.06,96.79602839,907.0316731,869.0883269,0.64610896,0.151171663,0.675738062,0.616479858,0.067817447,0.013965249,0.070554586,0.065080308,434.57,18.01180446,438.1002488,431.0397512
10,0.16,Social,9,6,6.28E-14,876.14,147.0247021,904.9563123,847.3236877,0.65012637,0.155456361,0.680595257,0.619657483,0.068525539,0.013943996,0.071258512,0.065792566,429.73,26.96992955,435.0160091,424.4439909
10,0.16,Social,9,8,6.83E-14,900.66,202.0538592,940.261829,861.058171,0.58937291,0.132465497,0.615335671,0.563410149,0.061878114,0.01268559,0.064364444,0.059391784,429.58,39.04770928,437.2332104,421.9267896
